kommune,klassetrin,skoleår,foraeldre_uddannelsesniveau
Aabenraa,Indskoling,2014/2015,4.914721295855169
Aabenraa,Indskoling,2015/2016,4.887082204155375
Aabenraa,Indskoling,2016/2017,4.887250237868696
Aabenraa,Indskoling,2017/2018,4.83727959697733
Aabenraa,Indskoling,2018/2019,4.855788423153693
Aabenraa,Indskoling,2019/2020,4.841541755888651
Aabenraa,Indskoling,2020/2021,4.826750921537651
Aabenraa,Indskoling,2021/2022,4.86943793911007
Aabenraa,Indskoling,2022/2023,4.899607403252944
Aabenraa,Indskoling,2023/2024,4.932060640089837
Aabenraa,Indskoling,2024/2025,4.9406641262928686
Aabenraa,Indskoling,2025/2026,4.981481481481482
Aabenraa,Mellemtrin,2014/2015,4.8005115089514065
Aabenraa,Mellemtrin,2015/2016,4.781042128603104
Aabenraa,Mellemtrin,2016/2017,4.812675266404936
Aabenraa,Mellemtrin,2017/2018,4.832151300236407
Aabenraa,Mellemtrin,2018/2019,4.896424167694205
Aabenraa,Mellemtrin,2019/2020,4.925049309664694
Aabenraa,Mellemtrin,2020/2021,4.887459807073955
Aabenraa,Mellemtrin,2021/2022,4.853351028533511
Aabenraa,Mellemtrin,2022/2023,4.875838926174497
Aabenraa,Mellemtrin,2023/2024,4.853606789250354
Aabenraa,Mellemtrin,2024/2025,4.83753709198813
Aabenraa,Mellemtrin,2025/2026,4.861280487804878
Aabenraa,Udskoling,2014/2015,4.6855439642324885
Aabenraa,Udskoling,2015/2016,4.669594594594595
Aabenraa,Udskoling,2016/2017,4.728051391862955
Aabenraa,Udskoling,2017/2018,4.754716981132075
Aabenraa,Udskoling,2018/2019,4.811688311688312
Aabenraa,Udskoling,2019/2020,4.829655172413793
Aabenraa,Udskoling,2020/2021,4.891583452211127
Aabenraa,Udskoling,2021/2022,4.878693623639191
Aabenraa,Udskoling,2022/2023,4.869599371563236
Aabenraa,Udskoling,2023/2024,4.890566037735849
Aabenraa,Udskoling,2024/2025,4.88046875
Aabenraa,Udskoling,2025/2026,4.869397217928903
Aalborg,Indskoling,2014/2015,5.385064351990422
Aalborg,Indskoling,2015/2016,5.416455527403654
Aalborg,Indskoling,2016/2017,5.441943127962086
Aalborg,Indskoling,2017/2018,5.4426542872747135
Aalborg,Indskoling,2018/2019,5.47707079392376
Aalborg,Indskoling,2019/2020,5.5
Aalborg,Indskoling,2020/2021,5.51473823141223
Aalborg,Indskoling,2021/2022,5.529259372142639
Aalborg,Indskoling,2022/2023,5.538586395160101
Aalborg,Indskoling,2023/2024,5.559300157751326
Aalborg,Indskoling,2024/2025,5.571569040595589
Aalborg,Indskoling,2025/2026,5.6002810962754745
Aalborg,Mellemtrin,2014/2015,5.214109419991773
Aalborg,Mellemtrin,2015/2016,5.267941712204007
Aalborg,Mellemtrin,2016/2017,5.325943143214733
Aalborg,Mellemtrin,2017/2018,5.353820900966624
Aalborg,Mellemtrin,2018/2019,5.376889848812095
Aalborg,Mellemtrin,2019/2020,5.397627737226277
Aalborg,Mellemtrin,2020/2021,5.4194938072159395
Aalborg,Mellemtrin,2021/2022,5.467365967365968
Aalborg,Mellemtrin,2022/2023,5.485793212312549
Aalborg,Mellemtrin,2023/2024,5.519967400162999
Aalborg,Mellemtrin,2024/2025,5.5036809815950924
Aalborg,Mellemtrin,2025/2026,5.516811955168119
Aalborg,Udskoling,2014/2015,5.114984265311063
Aalborg,Udskoling,2015/2016,5.1268085106382975
Aalborg,Udskoling,2016/2017,5.177493713327745
Aalborg,Udskoling,2017/2018,5.2256321590663495
Aalborg,Udskoling,2018/2019,5.2854410710016735
Aalborg,Udskoling,2019/2020,5.333400809716599
Aalborg,Udskoling,2020/2021,5.3450391368732815
Aalborg,Udskoling,2021/2022,5.3641439205955335
Aalborg,Udskoling,2022/2023,5.404689710935921
Aalborg,Udskoling,2023/2024,5.4309927360774815
Aalborg,Udskoling,2024/2025,5.462927554705757
Aalborg,Udskoling,2025/2026,5.512238147739802
Aarhus,Indskoling,2014/2015,5.570054119061936
Aarhus,Indskoling,2015/2016,5.639715083261142
Aarhus,Indskoling,2016/2017,5.671882453964316
Aarhus,Indskoling,2017/2018,5.703126466998404
Aarhus,Indskoling,2018/2019,5.725200821968989
Aarhus,Indskoling,2019/2020,5.730026954177897
Aarhus,Indskoling,2020/2021,5.746764535445238
Aarhus,Indskoling,2021/2022,5.7712425056853425
Aarhus,Indskoling,2022/2023,5.827771598071932
Aarhus,Indskoling,2023/2024,5.844246833737537
Aarhus,Indskoling,2024/2025,5.884510750329092
Aarhus,Indskoling,2025/2026,5.9283015552236185
Aarhus,Mellemtrin,2014/2015,5.3938496261814075
Aarhus,Mellemtrin,2015/2016,5.432443311418221
Aarhus,Mellemtrin,2016/2017,5.4587339743589745
Aarhus,Mellemtrin,2017/2018,5.519365499008592
Aarhus,Mellemtrin,2018/2019,5.58991935483871
Aarhus,Mellemtrin,2019/2020,5.5973785439521295
Aarhus,Mellemtrin,2020/2021,5.658081705150977
Aarhus,Mellemtrin,2021/2022,5.653009811721029
Aarhus,Mellemtrin,2022/2023,5.691707446105013
Aarhus,Mellemtrin,2023/2024,5.722026833398463
Aarhus,Mellemtrin,2024/2025,5.758372579801152
Aarhus,Mellemtrin,2025/2026,5.780767181672882
Aarhus,Udskoling,2014/2015,5.279088823336611
Aarhus,Udskoling,2015/2016,5.294081381011098
Aarhus,Udskoling,2016/2017,5.336092978825028
Aarhus,Udskoling,2017/2018,5.440122303380329
Aarhus,Udskoling,2018/2019,5.43150806308701
Aarhus,Udskoling,2019/2020,5.412009607686149
Aarhus,Udskoling,2020/2021,5.48622754491018
Aarhus,Udskoling,2021/2022,5.512588271415413
Aarhus,Udskoling,2022/2023,5.56727760393384
Aarhus,Udskoling,2023/2024,5.60836985720345
Aarhus,Udskoling,2024/2025,5.644218181818182
Aarhus,Udskoling,2025/2026,5.684915882520673
Albertslund,Indskoling,2014/2015,4.920564872021183
Albertslund,Indskoling,2015/2016,4.9229452054794525
Albertslund,Indskoling,2016/2017,4.930498773507768
Albertslund,Indskoling,2017/2018,4.938257993384785
Albertslund,Indskoling,2018/2019,4.983680870353581
Albertslund,Indskoling,2019/2020,5.055226824457594
Albertslund,Indskoling,2020/2021,5.0101419878296145
Albertslund,Indskoling,2021/2022,5.0964912280701755
Albertslund,Indskoling,2022/2023,5.102296450939457
Albertslund,Indskoling,2023/2024,5.077894736842105
Albertslund,Indskoling,2024/2025,5.061013443640124
Albertslund,Indskoling,2025/2026,5.126494023904383
Albertslund,Mellemtrin,2014/2015,4.7637997432605905
Albertslund,Mellemtrin,2015/2016,4.830357142857143
Albertslund,Mellemtrin,2016/2017,4.789954337899544
Albertslund,Mellemtrin,2017/2018,4.8046783625730995
Albertslund,Mellemtrin,2018/2019,4.86875
Albertslund,Mellemtrin,2019/2020,4.892947103274559
Albertslund,Mellemtrin,2020/2021,4.947044334975369
Albertslund,Mellemtrin,2021/2022,5.02907915993538
Albertslund,Mellemtrin,2022/2023,4.892761394101877
Albertslund,Mellemtrin,2023/2024,4.964864864864865
Albertslund,Mellemtrin,2024/2025,5.038781163434903
Albertslund,Mellemtrin,2025/2026,5.094964028776978
Albertslund,Udskoling,2014/2015,4.608011444921316
Albertslund,Udskoling,2015/2016,4.600522193211488
Albertslund,Udskoling,2016/2017,4.635658914728682
Albertslund,Udskoling,2017/2018,4.683042789223455
Albertslund,Udskoling,2018/2019,4.76517571884984
Albertslund,Udskoling,2019/2020,4.698214285714286
Albertslund,Udskoling,2020/2021,4.802752293577981
Albertslund,Udskoling,2021/2022,4.878521126760563
Albertslund,Udskoling,2022/2023,4.8812785388127855
Albertslund,Udskoling,2023/2024,4.906870229007634
Albertslund,Udskoling,2024/2025,4.8135095447870775
Albertslund,Udskoling,2025/2026,4.868544600938967
Allerød,Indskoling,2014/2015,6.0768374164810695
Allerød,Indskoling,2015/2016,6.006354249404289
Allerød,Indskoling,2016/2017,6.0299625468164795
Allerød,Indskoling,2017/2018,6.102836879432624
Allerød,Indskoling,2018/2019,6.080524344569288
Allerød,Indskoling,2019/2020,6.119447186574531
Allerød,Indskoling,2020/2021,6.061643835616438
Allerød,Indskoling,2021/2022,6.07172131147541
Allerød,Indskoling,2022/2023,6.045631067961165
Allerød,Indskoling,2023/2024,6.064253393665158
Allerød,Indskoling,2024/2025,6.129032258064516
Allerød,Indskoling,2025/2026,6.141025641025641
Allerød,Mellemtrin,2014/2015,5.9264
Allerød,Mellemtrin,2015/2016,5.982528263103803
Allerød,Mellemtrin,2016/2017,5.940686784599376
Allerød,Mellemtrin,2017/2018,5.957617411225659
Allerød,Mellemtrin,2018/2019,5.935665914221219
Allerød,Mellemtrin,2019/2020,5.972078593588418
Allerød,Mellemtrin,2020/2021,6.034972677595628
Allerød,Mellemtrin,2021/2022,6.0223097112860895
Allerød,Mellemtrin,2022/2023,6.056356487549148
Allerød,Mellemtrin,2023/2024,6.122758620689655
Allerød,Mellemtrin,2024/2025,5.979746835443038
Allerød,Mellemtrin,2025/2026,6.028225806451613
Allerød,Udskoling,2014/2015,5.790262172284645
Allerød,Udskoling,2015/2016,5.7556756756756755
Allerød,Udskoling,2016/2017,5.835487661574618
Allerød,Udskoling,2017/2018,5.907477820025348
Allerød,Udskoling,2018/2019,5.9639097744360905
Allerød,Udskoling,2019/2020,5.948372615039282
Allerød,Udskoling,2020/2021,5.930011862396204
Allerød,Udskoling,2021/2022,5.988888888888889
Allerød,Udskoling,2022/2023,5.9321766561514195
Allerød,Udskoling,2023/2024,6.075933075933076
Allerød,Udskoling,2024/2025,6.0188916876574305
Allerød,Udskoling,2025/2026,6.046235138705416
Assens,Indskoling,2014/2015,4.999300699300699
Assens,Indskoling,2015/2016,5.004654255319149
Assens,Indskoling,2016/2017,5.038286235186873
Assens,Indskoling,2017/2018,4.97552195824334
Assens,Indskoling,2018/2019,4.966076696165191
Assens,Indskoling,2019/2020,4.949922958397535
Assens,Indskoling,2020/2021,4.972491909385114
Assens,Indskoling,2021/2022,5.01192842942346
Assens,Indskoling,2022/2023,5.003167062549485
Assens,Indskoling,2023/2024,5.019872813990461
Assens,Indskoling,2024/2025,5.0340189873417724
Assens,Indskoling,2025/2026,5.017515923566879
Assens,Mellemtrin,2014/2015,4.851919561243144
Assens,Mellemtrin,2015/2016,4.911361804995971
Assens,Mellemtrin,2016/2017,5.002190580503833
Assens,Mellemtrin,2017/2018,5.0123348017621145
Assens,Mellemtrin,2018/2019,5.00265721877768
Assens,Mellemtrin,2019/2020,4.975
Assens,Mellemtrin,2020/2021,4.9980897803247375
Assens,Mellemtrin,2021/2022,4.95850622406639
Assens,Mellemtrin,2022/2023,4.924165824064712
Assens,Mellemtrin,2023/2024,4.927698574338086
Assens,Mellemtrin,2024/2025,4.937106918238993
Assens,Mellemtrin,2025/2026,4.989082969432315
Assens,Udskoling,2014/2015,4.7743153918791315
Assens,Udskoling,2015/2016,4.739510489510489
Assens,Udskoling,2016/2017,4.888765294771969
Assens,Udskoling,2017/2018,4.867
Assens,Udskoling,2018/2019,4.932920536635707
Assens,Udskoling,2019/2020,4.890909090909091
Assens,Udskoling,2020/2021,5.044164037854889
Assens,Udskoling,2021/2022,4.972222222222222
Assens,Udskoling,2022/2023,4.971457696228338
Assens,Udskoling,2023/2024,4.982942430703624
Assens,Udskoling,2024/2025,4.904395604395605
Assens,Udskoling,2025/2026,4.917283950617284
Ballerup,Indskoling,2014/2015,5.293743372216331
Ballerup,Indskoling,2015/2016,5.278582126809785
Ballerup,Indskoling,2016/2017,5.26457399103139
Ballerup,Indskoling,2017/2018,5.266194331983805
Ballerup,Indskoling,2018/2019,5.324817518248175
Ballerup,Indskoling,2019/2020,5.322683706070287
Ballerup,Indskoling,2020/2021,5.348258706467662
Ballerup,Indskoling,2021/2022,5.385863267670915
Ballerup,Indskoling,2022/2023,5.318003365114975
Ballerup,Indskoling,2023/2024,5.366962885520126
Ballerup,Indskoling,2024/2025,5.366803278688525
Ballerup,Indskoling,2025/2026,5.412139011257954
Ballerup,Mellemtrin,2014/2015,5.157370517928287
Ballerup,Mellemtrin,2015/2016,5.1845659163987134
Ballerup,Mellemtrin,2016/2017,5.214941022280472
Ballerup,Mellemtrin,2017/2018,5.24625748502994
Ballerup,Mellemtrin,2018/2019,5.252688172043011
Ballerup,Mellemtrin,2019/2020,5.2765676567656765
Ballerup,Mellemtrin,2020/2021,5.247669773635153
Ballerup,Mellemtrin,2021/2022,5.267634854771784
Ballerup,Mellemtrin,2022/2023,5.328983516483516
Ballerup,Mellemtrin,2023/2024,5.320916905444126
Ballerup,Mellemtrin,2024/2025,5.358974358974359
Ballerup,Mellemtrin,2025/2026,5.301115241635688
Ballerup,Udskoling,2014/2015,5.118007662835249
Ballerup,Udskoling,2015/2016,5.037267080745342
Ballerup,Udskoling,2016/2017,5.074766355140187
Ballerup,Udskoling,2017/2018,5.159039759939985
Ballerup,Udskoling,2018/2019,5.3060064935064934
Ballerup,Udskoling,2019/2020,5.269378357636224
Ballerup,Udskoling,2020/2021,5.30130668716372
Ballerup,Udskoling,2021/2022,5.208169677926159
Ballerup,Udskoling,2022/2023,5.220789074355084
Ballerup,Udskoling,2023/2024,5.222545454545455
Ballerup,Udskoling,2024/2025,5.27991452991453
Ballerup,Udskoling,2025/2026,5.307368421052631
Billund,Indskoling,2014/2015,4.725631768953068
Billund,Indskoling,2015/2016,4.658135283363802
Billund,Indskoling,2016/2017,4.730250481695569
Billund,Indskoling,2017/2018,4.7177734375
Billund,Indskoling,2018/2019,4.70021645021645
Billund,Indskoling,2019/2020,4.718905472636816
Billund,Indskoling,2020/2021,4.774049217002237
Billund,Indskoling,2021/2022,4.823059360730594
Billund,Indskoling,2022/2023,4.886986301369863
Billund,Indskoling,2023/2024,4.926910299003322
Billund,Indskoling,2024/2025,4.947719688542826
Billund,Indskoling,2025/2026,4.976769911504425
Billund,Mellemtrin,2014/2015,4.677070828331333
Billund,Mellemtrin,2015/2016,4.620930232558139
Billund,Mellemtrin,2016/2017,4.598130841121495
Billund,Mellemtrin,2017/2018,4.6120283018867925
Billund,Mellemtrin,2018/2019,4.731884057971015
Billund,Mellemtrin,2019/2020,4.663323782234957
Billund,Mellemtrin,2020/2021,4.774234693877551
Billund,Mellemtrin,2021/2022,4.71865889212828
Billund,Mellemtrin,2022/2023,4.778901734104046
Billund,Mellemtrin,2023/2024,4.815028901734104
Billund,Mellemtrin,2024/2025,4.829787234042553
Billund,Mellemtrin,2025/2026,4.865269461077844
Billund,Udskoling,2014/2015,4.5744125326370755
Billund,Udskoling,2015/2016,4.623393316195373
Billund,Udskoling,2016/2017,4.632679738562092
Billund,Udskoling,2017/2018,4.656121045392022
Billund,Udskoling,2018/2019,4.6650082918739635
Billund,Udskoling,2019/2020,4.571005917159764
Billund,Udskoling,2020/2021,4.664295874822191
Billund,Udskoling,2021/2022,4.763392857142857
Billund,Udskoling,2022/2023,4.771822358346095
Billund,Udskoling,2023/2024,4.814159292035399
Billund,Udskoling,2024/2025,4.855753646677472
Billund,Udskoling,2025/2026,4.849152542372881
Bornholm,Indskoling,2014/2015,4.851291184327693
Bornholm,Indskoling,2015/2016,4.764132553606238
Bornholm,Indskoling,2016/2017,4.757487922705314
Bornholm,Indskoling,2017/2018,4.758549222797927
Bornholm,Indskoling,2018/2019,4.808362369337979
Bornholm,Indskoling,2019/2020,4.7898305084745765
Bornholm,Indskoling,2020/2021,4.781582054309327
Bornholm,Indskoling,2021/2022,4.837326607818411
Bornholm,Indskoling,2022/2023,4.881294964028777
Bornholm,Indskoling,2023/2024,4.913642052565707
Bornholm,Indskoling,2024/2025,4.98443579766537
Bornholm,Indskoling,2025/2026,4.9869621903520205
Bornholm,Mellemtrin,2014/2015,4.813397129186603
Bornholm,Mellemtrin,2015/2016,4.796758104738155
Bornholm,Mellemtrin,2016/2017,4.78170731707317
Bornholm,Mellemtrin,2017/2018,4.778186274509804
Bornholm,Mellemtrin,2018/2019,4.730627306273063
Bornholm,Mellemtrin,2019/2020,4.756862745098039
Bornholm,Mellemtrin,2020/2021,4.7975376196990425
Bornholm,Mellemtrin,2021/2022,4.821482602118003
Bornholm,Mellemtrin,2022/2023,4.8878357030015795
Bornholm,Mellemtrin,2023/2024,4.9280936454849495
Bornholm,Mellemtrin,2024/2025,4.885981308411215
Bornholm,Mellemtrin,2025/2026,4.9282051282051285
Bornholm,Udskoling,2014/2015,4.62958435207824
Bornholm,Udskoling,2015/2016,4.657726692209451
Bornholm,Udskoling,2016/2017,4.684625492772668
Bornholm,Udskoling,2017/2018,4.787142857142857
Bornholm,Udskoling,2018/2019,4.780973451327434
Bornholm,Udskoling,2019/2020,4.789380530973451
Bornholm,Udskoling,2020/2021,4.814159292035399
Bornholm,Udskoling,2021/2022,4.743055555555555
Bornholm,Udskoling,2022/2023,4.744827586206896
Bornholm,Udskoling,2023/2024,4.835748792270532
Bornholm,Udskoling,2024/2025,4.886617100371748
Bornholm,Udskoling,2025/2026,4.9453860640301315
Brøndby,Indskoling,2014/2015,4.648910411622276
Brøndby,Indskoling,2015/2016,4.639516129032258
Brøndby,Indskoling,2016/2017,4.679603633360859
Brøndby,Indskoling,2017/2018,4.6618274978650724
Brøndby,Indskoling,2018/2019,4.651793525809274
Brøndby,Indskoling,2019/2020,4.768129770992366
Brøndby,Indskoling,2020/2021,4.754553339115351
Brøndby,Indskoling,2021/2022,4.786797502230152
Brøndby,Indskoling,2022/2023,4.799823633156967
Brøndby,Indskoling,2023/2024,4.865168539325842
Brøndby,Indskoling,2024/2025,4.890666666666666
Brøndby,Indskoling,2025/2026,4.938012762078396
Brøndby,Mellemtrin,2014/2015,4.547445255474453
Brøndby,Mellemtrin,2015/2016,4.611940298507463
Brøndby,Mellemtrin,2016/2017,4.693081761006289
Brøndby,Mellemtrin,2017/2018,4.674101610904585
Brøndby,Mellemtrin,2018/2019,4.603337612323491
Brøndby,Mellemtrin,2019/2020,4.649930264993026
Brøndby,Mellemtrin,2020/2021,4.642140468227424
Brøndby,Mellemtrin,2021/2022,4.691919191919192
Brøndby,Mellemtrin,2022/2023,4.693167701863354
Brøndby,Mellemtrin,2023/2024,4.770380434782608
Brøndby,Mellemtrin,2024/2025,4.777915632754342
Brøndby,Mellemtrin,2025/2026,4.764314247669773
Brøndby,Udskoling,2014/2015,4.287449392712551
Brøndby,Udskoling,2015/2016,4.363758389261745
Brøndby,Udskoling,2016/2017,4.416870415647922
Brøndby,Udskoling,2017/2018,4.526618705035971
Brøndby,Udskoling,2018/2019,4.672064777327935
Brøndby,Udskoling,2019/2020,4.677329624478443
Brøndby,Udskoling,2020/2021,4.637450199203188
Brøndby,Udskoling,2021/2022,4.561253561253562
Brøndby,Udskoling,2022/2023,4.659466327827192
Brøndby,Udskoling,2023/2024,4.746648793565684
Brøndby,Udskoling,2024/2025,4.813432835820896
Brøndby,Udskoling,2025/2026,4.757294429708223
Brønderslev,Indskoling,2014/2015,5.063842848373235
Brønderslev,Indskoling,2015/2016,5.095776323616895
Brønderslev,Indskoling,2016/2017,5.061721068249258
Brønderslev,Indskoling,2017/2018,5.07275047862157
Brønderslev,Indskoling,2018/2019,5.081659973226238
Brønderslev,Indskoling,2019/2020,5.1669184290030215
Brønderslev,Indskoling,2020/2021,5.121652639632747
Brønderslev,Indskoling,2021/2022,5.126373626373627
Brønderslev,Indskoling,2022/2023,5.150113722517059
Brønderslev,Indskoling,2023/2024,5.1525423728813555
Brønderslev,Indskoling,2024/2025,5.206360424028269
Brønderslev,Indskoling,2025/2026,5.257460097154754
Brønderslev,Mellemtrin,2014/2015,4.945578231292517
Brønderslev,Mellemtrin,2015/2016,4.945161290322581
Brønderslev,Mellemtrin,2016/2017,5.019607843137255
Brønderslev,Mellemtrin,2017/2018,5.039932030586236
Brønderslev,Mellemtrin,2018/2019,5.071490094745909
Brønderslev,Mellemtrin,2019/2020,5.040136635354398
Brønderslev,Mellemtrin,2020/2021,5.044117647058823
Brønderslev,Mellemtrin,2021/2022,5.028466483011938
Brønderslev,Mellemtrin,2022/2023,5.133268482490273
Brønderslev,Mellemtrin,2023/2024,5.170550847457627
Brønderslev,Mellemtrin,2024/2025,5.118662351672061
Brønderslev,Mellemtrin,2025/2026,5.121636167922497
Brønderslev,Udskoling,2014/2015,4.889432485322896
Brønderslev,Udskoling,2015/2016,4.940550133096717
Brønderslev,Udskoling,2016/2017,5.009469696969697
Brønderslev,Udskoling,2017/2018,4.988200589970502
Brønderslev,Udskoling,2018/2019,4.956338028169014
Brønderslev,Udskoling,2019/2020,5.022483940042827
Brønderslev,Udskoling,2020/2021,5.040485829959514
Brønderslev,Udskoling,2021/2022,5.1067472306143005
Brønderslev,Udskoling,2022/2023,4.982905982905983
Brønderslev,Udskoling,2023/2024,5.065310492505353
Brønderslev,Udskoling,2024/2025,5.10178970917226
Brønderslev,Udskoling,2025/2026,5.144654088050315
Dragør,Indskoling,2014/2015,5.652492668621701
Dragør,Indskoling,2015/2016,5.69774011299435
Dragør,Indskoling,2016/2017,5.663989290495315
Dragør,Indskoling,2017/2018,5.841758241758241
Dragør,Indskoling,2018/2019,5.863201094391245
Dragør,Indskoling,2019/2020,5.951612903225806
Dragør,Indskoling,2020/2021,5.96
Dragør,Indskoling,2021/2022,6.03125
Dragør,Indskoling,2022/2023,5.881284916201118
Dragør,Indskoling,2023/2024,5.922190201729107
Dragør,Indskoling,2024/2025,5.933933933933934
Dragør,Indskoling,2025/2026,5.961206896551724
Dragør,Mellemtrin,2014/2015,5.627858627858628
Dragør,Mellemtrin,2015/2016,5.575257731958763
Dragør,Mellemtrin,2016/2017,5.667279411764706
Dragør,Mellemtrin,2017/2018,5.7213622291021675
Dragør,Mellemtrin,2018/2019,5.722753346080306
Dragør,Mellemtrin,2019/2020,5.710775047258979
Dragør,Mellemtrin,2020/2021,5.702083333333333
Dragør,Mellemtrin,2021/2022,5.843058350100604
Dragør,Mellemtrin,2022/2023,5.936344969199179
Dragør,Mellemtrin,2023/2024,5.990234375
Dragør,Mellemtrin,2024/2025,5.937751004016064
Dragør,Mellemtrin,2025/2026,5.885214007782102
Dragør,Udskoling,2014/2015,5.517142857142857
Dragør,Udskoling,2015/2016,5.626865671641791
Dragør,Udskoling,2016/2017,5.5966386554621845
Dragør,Udskoling,2017/2018,5.627049180327869
Dragør,Udskoling,2018/2019,5.550264550264551
Dragør,Udskoling,2019/2020,5.60042735042735
Dragør,Udskoling,2020/2021,5.5924276169265035
Dragør,Udskoling,2021/2022,5.635964912280702
Dragør,Udskoling,2022/2023,5.689217758985201
Dragør,Udskoling,2023/2024,5.706896551724138
Dragør,Udskoling,2024/2025,5.802056555269923
Dragør,Udskoling,2025/2026,5.9336188436830835
Egedal,Indskoling,2014/2015,5.429740134744947
Egedal,Indskoling,2015/2016,5.449929478138223
Egedal,Indskoling,2016/2017,5.493923189110355
Egedal,Indskoling,2017/2018,5.531581606872158
Egedal,Indskoling,2018/2019,5.503912363067292
Egedal,Indskoling,2019/2020,5.548535324526134
Egedal,Indskoling,2020/2021,5.567950169875425
Egedal,Indskoling,2021/2022,5.565797453001819
Egedal,Indskoling,2022/2023,5.611078022632519
Egedal,Indskoling,2023/2024,5.612796469939327
Egedal,Indskoling,2024/2025,5.654997463216641
Egedal,Indskoling,2025/2026,5.713717693836978
Egedal,Mellemtrin,2014/2015,5.36048632218845
Egedal,Mellemtrin,2015/2016,5.387078330474557
Egedal,Mellemtrin,2016/2017,5.374492753623189
Egedal,Mellemtrin,2017/2018,5.351752822341058
Egedal,Mellemtrin,2018/2019,5.378846153846154
Egedal,Mellemtrin,2019/2020,5.450407608695652
Egedal,Mellemtrin,2020/2021,5.519137091162143
Egedal,Mellemtrin,2021/2022,5.486426999266325
Egedal,Mellemtrin,2022/2023,5.478632478632479
Egedal,Mellemtrin,2023/2024,5.526479750778816
Egedal,Mellemtrin,2024/2025,5.566640685892439
Egedal,Mellemtrin,2025/2026,5.62
Egedal,Udskoling,2014/2015,5.191612436731742
Egedal,Udskoling,2015/2016,5.174799708667153
Egedal,Udskoling,2016/2017,5.192241379310345
Egedal,Udskoling,2017/2018,5.325495958853784
Egedal,Udskoling,2018/2019,5.353323699421965
Egedal,Udskoling,2019/2020,5.318088737201365
Egedal,Udskoling,2020/2021,5.326294277929155
Egedal,Udskoling,2021/2022,5.316493313521545
Egedal,Udskoling,2022/2023,5.386666666666667
Egedal,Udskoling,2023/2024,5.469907407407407
Egedal,Udskoling,2024/2025,5.449503311258278
Egedal,Udskoling,2025/2026,5.464195450716091
Esbjerg,Indskoling,2014/2015,5.029025055817415
Esbjerg,Indskoling,2015/2016,5.067100538599641
Esbjerg,Indskoling,2016/2017,5.08955223880597
Esbjerg,Indskoling,2017/2018,5.092084726867336
Esbjerg,Indskoling,2018/2019,5.117647058823529
Esbjerg,Indskoling,2019/2020,5.13062304546548
Esbjerg,Indskoling,2020/2021,5.1222385861561115
Esbjerg,Indskoling,2021/2022,5.085027726432532
Esbjerg,Indskoling,2022/2023,5.151029748283753
Esbjerg,Indskoling,2023/2024,5.201424211597152
Esbjerg,Indskoling,2024/2025,5.248493975903615
Esbjerg,Indskoling,2025/2026,5.248087710351862
Esbjerg,Mellemtrin,2014/2015,4.948012232415902
Esbjerg,Mellemtrin,2015/2016,4.95387398251432
Esbjerg,Mellemtrin,2016/2017,4.987899472541111
Esbjerg,Mellemtrin,2017/2018,4.986179361179361
Esbjerg,Mellemtrin,2018/2019,5.04468085106383
Esbjerg,Mellemtrin,2019/2020,5.054790231684408
Esbjerg,Mellemtrin,2020/2021,5.067465753424657
Esbjerg,Mellemtrin,2021/2022,5.0752056404230315
Esbjerg,Mellemtrin,2022/2023,5.104472003006388
Esbjerg,Mellemtrin,2023/2024,5.136266094420601
Esbjerg,Mellemtrin,2024/2025,5.153521126760563
Esbjerg,Mellemtrin,2025/2026,5.158313169720014
Esbjerg,Udskoling,2014/2015,4.841213553979512
Esbjerg,Udskoling,2015/2016,4.890826873385013
Esbjerg,Udskoling,2016/2017,4.875
Esbjerg,Udskoling,2017/2018,4.964693295292439
Esbjerg,Udskoling,2018/2019,4.969966159052453
Esbjerg,Udskoling,2019/2020,4.993372863620509
Esbjerg,Udskoling,2020/2021,4.983955074207782
Esbjerg,Udskoling,2021/2022,5.057188244638602
Esbjerg,Udskoling,2022/2023,5.074685534591195
Esbjerg,Udskoling,2023/2024,5.1003731343283585
Esbjerg,Udskoling,2024/2025,5.157462686567164
Esbjerg,Udskoling,2025/2026,5.16027496382055
Faaborg-Midtfyn,Indskoling,2014/2015,4.855676715843489
Faaborg-Midtfyn,Indskoling,2015/2016,4.868530636525877
Faaborg-Midtfyn,Indskoling,2016/2017,4.851431980906921
Faaborg-Midtfyn,Indskoling,2017/2018,4.869755792110206
Faaborg-Midtfyn,Indskoling,2018/2019,4.882432432432433
Faaborg-Midtfyn,Indskoling,2019/2020,4.885854341736695
Faaborg-Midtfyn,Indskoling,2020/2021,4.9346356123215624
Faaborg-Midtfyn,Indskoling,2021/2022,5.017527675276753
Faaborg-Midtfyn,Indskoling,2022/2023,5.033492822966507
Faaborg-Midtfyn,Indskoling,2023/2024,5.050134288272157
Faaborg-Midtfyn,Indskoling,2024/2025,5.089922480620155
Faaborg-Midtfyn,Indskoling,2025/2026,5.0952
Faaborg-Midtfyn,Mellemtrin,2014/2015,4.833770778652668
Faaborg-Midtfyn,Mellemtrin,2015/2016,4.853181076672104
Faaborg-Midtfyn,Mellemtrin,2016/2017,4.816806722689075
Faaborg-Midtfyn,Mellemtrin,2017/2018,4.812150279776179
Faaborg-Midtfyn,Mellemtrin,2018/2019,4.916737468139337
Faaborg-Midtfyn,Mellemtrin,2019/2020,4.869255150554675
Faaborg-Midtfyn,Mellemtrin,2020/2021,4.914911541701769
